semestre_conclusao,111635055 - GEOGRAFIA,111635060 - HISTÓRIA,118589266 - HISTÓRIA,2000012 - CIÊNCIAS CONTÁBEIS,2000019 - DIREITO,2000044 - GEOGRAFIA,2000047 - HISTÓRIA,2000055 - MATEMÁTICA,2000064 - PEDAGOGIA,7191770 - SISTEMAS DE INFORMAÇÃO
2020.1,4.07,5.5,8.5,5.5,4.61,5.5,4.33,5.1,5.0,5.5
2020.2,4.05,4.32,8.5,5.22,5.57,5.2,4.5,2.0,4.94,5.0
2021.1,4.5,5.3,8.5,6.06,5.72,4.5,4.5,2.0,4.61,8.17
2021.2,3.96,4.46,8.5,5.25,5.04,4.33,4.5,6.7,4.78,7.33
2022.1,4.64,4.83,20.5,6.41,5.64,6.33,4.5,5.0,4.88,7.79
2022.2,4.2,4.67,20.5,5.38,4.97,5.5,4.0,4.71,5.33,6.25
2023.1,4.28,5.21,20.5,6.79,7.75,5.67,8.5,5.67,4.72,7.0
2023.2,4.95,4.69,20.5,5.74,5.08,5.79,8.5,5.57,5.25,7.23
2024.1,4.95,6.06,20.5,6.83,4.0,6.17,8.5,4.5,4.69,6.6
2024.2,4.3,4.57,20.5,6.04,4.84,4.94,5.0,4.5,6.6,5.36
2025.1,4.51,5.71,20.5,6.65,6.16,5.54,6.76,4.99,4.82,6.47
2025.2,4.71,4.8,20.5,6.14,5.2,5.62,7.29,4.98,6.02,6.61
2026.1,4.72,5.57,20.5,6.56,4.61,5.68,7.02,4.77,4.87,6.37
